type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
223,2025-12-09 15:25:56+0000,1301,0.0,0.0,0.0,0.0,132.0
223,2025-12-08 15:08:19+0000,4261,0.0,0.0,0.0,0.0,539.0
223,2025-12-08 12:09:13+0000,2221,0.0,0.0,0.0,0.0,351.0
223,2025-12-06 14:52:30+0000,5821,0.0,0.0,0.0,0.0,754.0
223,2025-12-05 15:18:47+0000,5821,0.0,0.0,0.0,0.0,762.0
223,2025-12-01 02:39:59+0000,5161,0.0,0.0,0.0,0.0,656.0
223,2025-12-01 01:42:55+0000,1321,0.0,0.0,0.0,0.0,156.0
223,2025-11-29 15:01:06+0000,5041,0.0,0.0,0.0,0.0,753.0
223,2025-11-28 14:54:15+0000,3721,0.0,0.0,0.0,0.0,465.0
223,2025-11-26 14:39:04+0000,7681,0.0,0.0,0.0,0.0,1282.0
223,2025-11-25 15:46:37+0000,5461,0.0,0.0,0.0,0.0,901.0
223,2025-11-24 16:00:38+0000,3901,0.0,0.0,0.0,0.0,640.0
223,2025-11-22 05:44:04+0000,1881,0.0,0.0,0.0,0.0,230.0
223,2025-11-20 14:42:26+0000,4321,0.0,0.0,0.0,0.0,588.0
223,2025-11-13 12:41:14+0000,1981,0.0,0.0,0.0,0.0,217.0
223,2025-11-12 12:27:17+0000,2221,0.0,0.0,0.0,0.0,303.0
223,2025-11-11 15:54:10+0000,541,0.0,0.0,0.0,0.0,53.0
223,2025-11-11 12:29:00+0000,4201,0.0,0.0,0.0,0.0,591.0
223,2025-11-10 14:41:12+0000,485,0.0,0.0,0.0,0.0,45.0
223,2025-11-10 12:37:23+0000,2367,0.0,0.0,0.0,0.0,302.0
223,2025-11-09 11:34:45+0000,481,0.0,0.0,0.0,0.0,45.0
223,2025-11-04 14:58:23+0000,3361,0.0,0.0,0.0,0.0,453.0
223,2025-11-03 16:42:30+0000,1441,0.0,0.0,0.0,0.0,208.0
223,2025-11-03 16:04:26+0000,1141,0.0,0.0,0.0,0.0,184.0
223,2025-11-03 14:38:22+0000,2581,0.0,0.0,0.0,0.0,314.0
223,2025-10-29 15:11:02+0000,5641,0.0,0.0,0.0,0.0,766.0
223,2025-10-28 15:05:31+0000,4801,0.0,0.0,0.0,0.0,772.0
223,2025-10-27 15:46:38+0000,6001,0.0,0.0,0.0,0.0,888.0
223,2025-10-27 15:08:34+0000,1261,0.0,0.0,0.0,0.0,151.0
223,2025-10-24 16:52:11+0000,1981,0.0,0.0,0.0,0.0,311.0
223,2025-10-24 15:04:06+0000,3485,0.0,0.0,0.0,0.0,485.0
223,2025-10-23 16:33:03+0000,3841,0.0,0.0,0.0,0.0,493.0
223,2025-10-23 15:51:59+0000,721,0.0,0.0,0.0,0.0,70.0
223,2025-10-22 16:38:44+0000,4561,0.0,0.0,0.0,0.0,810.0
223,2025-10-21 15:26:14+0000,4381,0.0,0.0,0.0,0.0,681.0
223,2025-10-17 15:36:41+0000,2761,0.0,0.0,0.0,0.0,365.0
223,2025-10-16 15:19:25+0000,4321,0.0,0.0,0.0,0.0,571.0
223,2025-10-15 15:52:55+0000,2401,0.0,0.0,0.0,0.0,318.0
223,2025-10-15 14:56:51+0000,2161,0.0,0.0,0.0,0.0,271.0
223,2025-10-14 14:49:18+0000,5641,0.0,0.0,0.0,0.0,782.0
223,2025-10-12 15:01:21+0000,5401,0.0,0.0,0.0,0.0,831.0
223,2025-10-11 14:49:00+0000,7621,0.0,0.0,0.0,0.0,1100.0
223,2025-10-10 16:37:42+0000,4861,0.0,0.0,0.0,0.0,759.0
223,2025-10-10 15:31:38+0000,2461,0.0,0.0,0.0,0.0,363.0
223,2025-10-09 16:14:07+0000,3781,0.0,0.0,0.0,0.0,632.0
223,2025-10-08 15:21:15+0000,6661,0.0,0.0,0.0,0.0,1012.0
223,2025-10-07 15:51:44+0000,4923,0.0,0.0,0.0,0.0,682.0
223,2025-10-04 14:51:08+0000,5401,0.0,0.0,0.0,0.0,754.0
223,2025-10-03 15:08:03+0000,9661,0.0,0.0,0.0,0.0,1397.0
223,2025-10-02 16:18:41+0000,2641,0.0,0.0,0.0,0.0,390.0
223,2025-10-02 15:39:37+0000,1321,0.0,0.0,0.0,0.0,173.0
223,2025-10-01 15:48:13+0000,5521,0.0,0.0,0.0,0.0,960.0
223,2025-09-30 15:03:49+0000,6121,0.0,0.0,0.0,0.0,911.0
223,2025-09-29 14:57:40+0000,9828,0.0,0.0,0.0,0.0,1619.0
223,2025-09-27 15:05:15+0000,2881,0.0,0.0,0.0,0.0,347.0
223,2025-09-27 10:46:06+0000,6361,0.0,0.0,0.0,0.0,830.0
223,2025-09-26 15:32:32+0000,7502,0.0,0.0,0.0,0.0,1089.0
223,2025-09-26 14:56:28+0000,1081,0.0,0.0,0.0,0.0,157.0
223,2025-09-25 15:08:04+0000,6841,0.0,0.0,0.0,0.0,956.0
223,2025-09-24 15:54:18+0000,5521,0.0,0.0,0.0,0.0,715.0
223,2025-09-24 15:00:13+0000,1082,0.0,0.0,0.0,0.0,114.0
223,2025-09-23 14:51:36+0000,7021,0.0,0.0,0.0,0.0,1035.0
223,2025-09-22 14:53:02+0000,5701,0.0,0.0,0.0,0.0,775.0
223,2025-09-20 15:04:49+0000,6301,0.0,0.0,0.0,0.0,874.0
223,2025-09-19 15:22:01+0000,9001,0.0,0.0,0.0,0.0,1410.0
223,2025-09-18 15:09:56+0000,7321,0.0,0.0,0.0,0.0,1166.0
223,2025-09-17 15:14:43+0000,5342,0.0,0.0,0.0,0.0,757.0
223,2025-09-16 15:33:58+0000,4501,0.0,0.0,0.0,0.0,588.0
223,2025-09-15 15:06:18+0000,6901,0.0,0.0,0.0,0.0,948.0
223,2025-09-13 15:00:54+0000,8401,0.0,0.0,0.0,0.0,1311.0
223,2025-09-11 15:24:46+0000,1502,0.0,0.0,0.0,0.0,168.0
8,2025-09-11 15:08:50+0000,685,3.3898306,0.30788177,737.0,0.9269921,93.0
223,2025-09-10 14:38:54+0000,4681,0.0,0.0,0.0,0.0,654.0
223,2025-09-09 15:01:15+0000,6361,0.0,0.0,0.0,0.0,984.0
223,2025-09-08 15:03:13+0000,481,0.0,0.0,0.0,0.0,40.0
223,2025-09-07 14:35:13+0000,1921,0.0,0.0,0.0,0.0,248.0
223,2025-09-04 16:23:40+0000,8521,0.0,0.0,0.0,0.0,1388.0
223,2025-09-03 15:46:59+0000,4202,0.0,0.0,0.0,0.0,545.0
223,2025-09-02 15:16:28+0000,3541,0.0,0.0,0.0,0.0,412.0
223,2025-09-01 15:15:41+0000,5521,0.0,0.0,0.0,0.0,740.0
